ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Gender_Female,Gender_Male,Married_No,Married_Yes,Dependents_4,Dependents_0,Dependents_1,Dependents_2,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes
4583,1508.0,128.0,360.0,1.0,0,0,False,True,False,True,False,False,True,False,True,False,True,False
3000,0.0,66.0,360.0,1.0,2,1,False,True,False,True,False,True,False,False,True,False,False,True
2583,2358.0,120.0,360.0,1.0,2,1,False,True,False,True,False,True,False,False,False,True,True,False
6000,0.0,141.0,360.0,1.0,2,1,False,True,True,False,False,True,False,False,True,False,True,False
5417,4196.0,267.0,360.0,1.0,2,1,False,True,False,True,False,False,False,True,True,False,False,True
2333,1516.0,95.0,360.0,1.0,2,1,False,True,False,True,False,True,False,False,False,True,True,False
3036,2504.0,158.0,360.0,0.0,1,0,False,True,False,True,True,False,False,False,True,False,True,False
4006,1526.0,168.0,360.0,1.0,2,1,False,True,False,True,False,False,False,True,True,False,True,False
12841,10968.0,349.0,360.0,1.0,1,0,False,True,False,True,False,False,True,False,True,False,True,False
3200,700.0,70.0,360.0,1.0,2,1,False,True,False,True,False,False,False,True,True,False,True,False
3073,8106.0,200.0,360.0,1.0,2,1,False,True,False,True,False,False,False,True,True,False,True,False
1853,2840.0,114.0,360.0,1.0,0,0,False,True,True,False,False,True,False,False,True,False,True,False
1299,1086.0,17.0,120.0,1.0,2,1,False,True,False,True,False,False,False,True,True,False,True,False
4950,0.0,125.0,360.0,1.0,2,1,False,True,True,False,False,True,False,False,True,False,True,False
3510,0.0,76.0,360.0,0.0,2,0,True,False,True,False,False,True,False,False,True,False,True,False
4887,0.0,133.0,360.0,1.0,0,0,False,True,False,True,False,True,False,False,False,True,True,False
7660,0.0,104.0,360.0,0.0,2,0,False,True,False,True,False,True,False,False,False,True,True,False
5955,5625.0,315.0,360.0,1.0,2,1,False,True,False,True,False,False,True,False,True,False,True,False
2600,1911.0,116.0,360.0,0.0,1,0,False,True,False,True,False,True,False,False,False,True,True,False
9560,0.0,191.0,360.0,1.0,1,1,False,True,False,True,False,True,False,False,True,False,False,True
2799,2253.0,122.0,360.0,1.0,1,1,False,True,False,True,False,True,False,False,True,False,True,False
4226,1040.0,110.0,360.0,1.0,2,1,False,True,False,True,False,False,False,True,False,True,True,False
1442,0.0,35.0,360.0,1.0,2,0,False,True,True,False,False,True,False,False,False,True,True,False
3167,0.0,74.0,360.0,1.0,2,0,False,True,True,False,False,True,False,False,True,False,True,False
4692,0.0,106.0,360.0,1.0,0,0,False,True,True,False,False,False,True,False,True,False,False,True
3500,1667.0,114.0,360.0,1.0,1,1,False,True,False,True,False,True,False,False,True,False,True,False
12500,3000.0,320.0,360.0,1.0,0,0,False,True,True,False,True,False,False,False,True,False,True,False
3667,1459.0,144.0,360.0,1.0,1,1,True,False,False,True,False,True,False,False,True,False,True,False
4166,7210.0,184.0,360.0,1.0,2,1,False,True,True,False,False,True,False,False,True,False,True,False
3748,1668.0,110.0,360.0,1.0,1,1,False,True,True,False,False,True,False,False,False,True,True,False
3600,0.0,80.0,360.0,1.0,2,0,False,True,True,False,False,True,False,False,True,False,True,False
1800,1213.0,47.0,360.0,1.0,2,1,False,True,True,False,False,True,False,False,True,False,True,False
3941,2336.0,134.0,360.0,1.0,1,1,False,True,False,True,False,True,False,False,True,False,True,False
5649,0.0,44.0,360.0,1.0,2,1,False,True,False,True,False,False,True,False,True,False,True,False
5821,0.0,144.0,360.0,1.0,2,1,False,True,False,True,False,True,False,False,True,False,True,False
2645,3440.0,120.0,360.0,0.0,2,0,True,False,False,True,False,True,False,False,True,False,True,False
4000,2275.0,144.0,360.0,1.0,1,1,True,False,True,False,False,True,False,False,True,False,True,False
1928,1644.0,100.0,360.0,1.0,1,1,True,False,False,True,False,True,False,False,False,True,True,False
3086,0.0,120.0,360.0,1.0,1,1,True,False,True,False,False,True,False,False,True,False,True,False
4230,0.0,112.0,360.0,1.0,1,0,True,False,True,False,False,True,False,False,True,False,True,False
4616,0.0,134.0,360.0,1.0,2,0,False,True,False,True,False,False,False,True,True,False,True,False
11500,0.0,286.0,360.0,0.0,2,0,True,False,False,True,False,False,True,False,True,False,False,True
2708,1167.0,97.0,360.0,1.0,1,1,False,True,False,True,False,False,False,True,True,False,True,False
2132,1591.0,96.0,360.0,1.0,1,1,False,True,False,True,False,True,False,False,True,False,True,False
3366,2200.0,135.0,360.0,1.0,0,0,False,True,False,True,False,True,False,False,True,False,True,False
8080,2250.0,180.0,360.0,1.0,2,1,False,True,False,True,False,False,True,False,True,False,True,False
3357,2859.0,144.0,360.0,1.0,2,1,False,True,False,True,False,False,False,True,False,True,True,False
2500,3796.0,120.0,360.0,1.0,2,1,False,True,False,True,False,True,False,False,True,False,True,False
3029,0.0,99.0,360.0,1.0,2,1,False,True,False,True,True,False,False,False,True,False,True,False
2609,3449.0,165.0,180.0,0.0,0,0,False,True,False,True,False,True,False,False,False,True,False,True
4166,0.0,116.0,360.0,0.0,1,0,True,False,True,False,False,True,False,False,True,False,True,False
5726,4595.0,258.0,360.0,1.0,1,0,False,True,False,True,False,True,False,False,True,False,True,False
3200,2254.0,126.0,180.0,0.0,2,0,False,True,True,False,False,True,False,False,False,True,True,False
10750,0.0,312.0,360.0,1.0,2,1,False,True,False,True,False,False,True,False,True,False,True,False
7100,0.0,125.0,60.0,1.0,2,1,False,True,False,True,True,False,False,False,False,True,False,True
4300,0.0,136.0,360.0,0.0,1,0,True,False,True,False,False,True,False,False,True,False,True,False
3208,3066.0,172.0,360.0,1.0,2,1,False,True,False,True,False,True,False,False,True,False,True,False
1875,1875.0,97.0,360.0,1.0,1,1,False,True,False,True,False,False,False,True,False,True,False,True
3500,0.0,81.0,300.0,1.0,1,1,False,True,True,False,False,True,False,False,True,False,True,False
5266,1774.0,187.0,360.0,1.0,1,1,False,True,False,True,True,False,False,False,True,False,False,True
3750,0.0,113.0,480.0,1.0,2,0,False,True,True,False,False,True,False,False,True,False,True,False
3750,4750.0,176.0,360.0,1.0,2,0,False,True,True,False,False,True,False,False,True,False,True,False
1000,3022.0,110.0,360.0,1.0,2,0,False,True,False,True,False,False,True,False,True,False,False,True
3167,4000.0,180.0,300.0,0.0,1,0,False,True,False,True,True,False,False,False,True,False,True,False
3846,0.0,111.0,360.0,1.0,1,1,True,False,True,False,False,True,False,False,True,False,True,False
1378,1881.0,167.0,360.0,1.0,2,0,True,False,False,True,False,False,False,True,True,False,True,False
3988,0.0,50.0,240.0,1.0,2,1,False,True,False,True,False,False,True,False,True,False,True,False
2366,2531.0,136.0,360.0,1.0,1,1,False,True,True,False,False,True,False,False,True,False,True,False
2500,2118.0,104.0,360.0,1.0,1,1,False,True,False,True,False,True,False,False,True,False,True,False
8566,0.0,210.0,360.0,1.0,2,1,False,True,True,False,False,True,False,False,True,False,True,False
5695,4167.0,175.0,360.0,1.0,1,1,False,True,False,True,False,True,False,False,True,False,True,False
2958,2900.0,131.0,360.0,1.0,1,1,False,True,False,True,False,True,False,False,True,False,True,False
6250,5654.0,188.0,180.0,1.0,1,1,False,True,False,True,False,False,False,True,True,False,True,False
3273,1820.0,81.0,360.0,1.0,2,1,False,True,False,True,False,False,False,True,False,True,True,False
4133,0.0,122.0,360.0,1.0,1,1,False,True,True,False,False,True,False,False,True,False,True,False
3620,0.0,25.0,120.0,1.0,1,1,False,True,True,False,False,True,False,False,False,True,True,False
2484,2302.0,137.0,360.0,1.0,1,1,True,False,False,True,False,True,False,False,True,False,True,False
1977,997.0,50.0,360.0,1.0,1,1,False,True,False,True,False,True,False,False,True,False,True,False
4188,0.0,115.0,180.0,1.0,1,1,False,True,False,True,False,True,False,False,False,True,True,False
1759,3541.0,131.0,360.0,1.0,1,1,False,True,False,True,False,True,False,False,True,False,True,False
4288,3263.0,133.0,180.0,1.0,2,1,False,True,False,True,False,False,False,True,False,True,True,False
4843,3806.0,151.0,360.0,1.0,1,1,False,True,True,False,False,True,False,False,True,False,True,False
3052,1030.0,100.0,360.0,1.0,2,1,False,True,False,True,False,False,True,False,True,False,True,False
11417,1126.0,225.0,360.0,1.0,2,1,False,True,False,True,False,False,False,True,True,False,True,False
3800,3600.0,216.0,360.0,0.0,2,0,False,True,False,True,False,False,False,True,True,False,True,False
2071,754.0,94.0,480.0,1.0,1,1,False,True,False,True,True,False,False,False,False,True,True,False
5316,0.0,136.0,360.0,1.0,2,1,False,True,True,False,False,True,False,False,True,False,True,False
14583,0.0,185.0,180.0,1.0,0,1,False,True,False,True,False,False,True,False,True,False,True,False
3167,2283.0,154.0,360.0,1.0,1,1,True,False,False,True,False,True,False,False,True,False,True,False
5568,2142.0,175.0,360.0,1.0,0,0,False,True,False,True,False,True,False,False,True,False,True,False
10408,0.0,259.0,360.0,1.0,2,1,True,False,True,False,False,True,False,False,True,False,True,False
4166,0.0,44.0,360.0,1.0,1,1,True,False,True,False,False,True,False,False,True,False,True,False
2137,8980.0,137.0,360.0,0.0,1,1,True,False,True,False,False,True,False,False,True,False,True,False
2957,0.0,81.0,360.0,1.0,1,1,False,True,False,True,False,False,False,True,True,False,True,False
4300,2014.0,194.0,360.0,1.0,0,1,False,True,False,True,False,True,False,False,False,True,True,False
10513,3850.0,160.0,180.0,0.0,2,0,False,True,False,True,False,False,True,False,True,False,False,True
2014,1929.0,74.0,360.0,1.0,2,1,False,True,True,False,False,True,False,False,True,False,True,False
2718,0.0,70.0,360.0,1.0,1,1,False,True,True,False,False,True,False,False,True,False,True,False
3459,0.0,25.0,120.0,1.0,1,1,False,True,False,True,False,True,False,False,True,False,False,True
4895,0.0,102.0,360.0,1.0,1,1,False,True,True,False,False,True,False,False,True,False,True,False
4000,7750.0,290.0,360.0,1.0,1,0,False,True,False,True,True,False,False,False,True,False,True,False
4583,0.0,84.0,360.0,1.0,0,0,True,False,False,True,False,True,False,False,True,False,True,False
3316,3500.0,88.0,360.0,1.0,2,1,False,True,False,True,False,False,False,True,True,False,False,True
14999,0.0,242.0,360.0,0.0,1,0,False,True,True,False,False,True,False,False,True,False,True,False
4200,1430.0,129.0,360.0,1.0,0,0,False,True,False,True,False,False,False,True,False,True,True,False
5042,2083.0,185.0,360.0,1.0,0,0,False,True,False,True,False,False,False,True,True,False,True,False
5417,0.0,168.0,360.0,1.0,2,1,False,True,True,False,False,True,False,False,True,False,True,False
6950,0.0,175.0,180.0,1.0,1,1,False,True,True,False,False,True,False,False,True,False,False,True
2698,2034.0,122.0,360.0,1.0,1,1,False,True,False,True,False,True,False,False,True,False,True,False
11757,0.0,187.0,180.0,1.0,2,1,False,True,False,True,False,False,False,True,True,False,True,False
2330,4486.0,100.0,360.0,1.0,1,1,True,False,False,True,False,True,False,False,True,False,True,False
14866,0.0,70.0,360.0,1.0,2,1,True,False,False,True,False,False,False,True,True,False,True,False
1538,1425.0,30.0,360.0,1.0,2,1,False,True,False,True,False,False,True,False,True,False,True,False
10000,1666.0,225.0,360.0,1.0,0,0,True,False,True,False,False,True,False,False,True,False,True,False
4860,830.0,125.0,360.0,1.0,1,1,False,True,False,True,False,True,False,False,True,False,True,False
6277,0.0,118.0,360.0,0.0,0,0,False,True,True,False,False,True,False,False,True,False,True,False
2577,3750.0,152.0,360.0,1.0,0,1,False,True,False,True,False,True,False,False,True,False,False,True
9166,0.0,244.0,360.0,1.0,2,0,False,True,True,False,False,True,False,False,True,False,True,False
2281,0.0,113.0,360.0,1.0,0,0,False,True,False,True,False,False,False,True,False,True,True,False
3254,0.0,50.0,360.0,1.0,2,1,False,True,True,False,False,True,False,False,True,False,True,False
39999,0.0,600.0,180.0,0.0,1,1,False,True,False,True,True,False,False,False,True,False,True,False
9538,0.0,187.0,360.0,1.0,2,1,False,True,False,True,False,False,True,False,True,False,True,False
4583,5625.0,255.0,360.0,1.0,1,1,False,True,False,True,False,True,False,False,True,False,True,False
1863,1041.0,98.0,360.0,1.0,1,1,False,True,False,True,False,True,False,False,False,True,True,False
7933,0.0,275.0,360.0,1.0,2,0,False,True,False,True,False,True,False,False,True,False,True,False
3089,1280.0,121.0,360.0,0.0,1,0,False,True,False,True,False,False,True,False,True,False,True,False
4167,1447.0,158.0,360.0,1.0,0,1,False,True,False,True,False,False,False,True,True,False,True,False
9323,0.0,75.0,180.0,1.0,2,1,False,True,False,True,False,True,False,False,True,False,True,False
4583,0.0,112.0,360.0,1.0,0,0,True,False,False,True,False,True,False,False,True,False,True,False
2439,3333.0,129.0,360.0,1.0,0,1,False,True,False,True,False,True,False,False,True,False,True,False
2237,0.0,63.0,480.0,0.0,1,0,False,True,True,False,False,True,False,False,True,False,True,False
8000,0.0,200.0,360.0,1.0,1,1,False,True,False,True,False,False,False,True,True,False,True,False
3522,0.0,81.0,180.0,1.0,0,0,False,True,False,True,True,False,False,False,False,True,True,False
5708,5625.0,187.0,360.0,1.0,1,1,False,True,False,True,False,True,False,False,True,False,True,False
4344,736.0,87.0,360.0,1.0,1,0,False,True,False,True,False,True,False,False,False,True,False,True
3497,1964.0,116.0,360.0,1.0,0,1,False,True,False,True,False,True,False,False,True,False,True,False
2045,1619.0,101.0,360.0,1.0,0,1,False,True,False,True,False,False,False,True,True,False,True,False
5516,11300.0,495.0,360.0,0.0,1,0,False,True,False,True,True,False,False,False,True,False,True,False
3750,0.0,116.0,360.0,1.0,1,1,False,True,False,True,False,False,True,False,True,False,True,False
2333,1451.0,102.0,480.0,0.0,2,0,False,True,True,False,False,True,False,False,False,True,True,False
6400,7250.0,180.0,360.0,0.0,2,0,False,True,False,True,False,False,True,False,True,False,True,False
4600,0.0,73.0,180.0,1.0,1,1,False,True,False,True,False,True,False,False,True,False,True,False
33846,0.0,260.0,360.0,1.0,1,0,False,True,False,True,False,False,True,False,True,False,True,False
3625,0.0,108.0,360.0,1.0,1,1,True,False,False,True,False,True,False,False,True,False,True,False
39147,4750.0,120.0,360.0,1.0,1,1,False,True,False,True,False,True,False,False,True,False,False,True
2178,0.0,66.0,300.0,0.0,0,0,False,True,False,True,False,False,True,False,True,False,False,True
9328,0.0,188.0,180.0,1.0,0,1,False,True,False,True,False,True,False,False,True,False,True,False
4885,0.0,48.0,360.0,1.0,0,1,False,True,True,False,False,True,False,False,False,True,True,False
12000,0.0,164.0,360.0,1.0,1,0,False,True,True,False,False,True,False,False,True,False,True,False
6033,0.0,160.0,360.0,1.0,2,0,False,True,False,True,False,True,False,False,False,True,True,False
3858,0.0,76.0,360.0,1.0,1,1,False,True,True,False,False,True,False,False,True,False,True,False
4191,0.0,120.0,360.0,1.0,0,1,False,True,True,False,False,True,False,False,True,False,True,False
3125,2583.0,170.0,360.0,1.0,1,0,False,True,False,True,False,False,True,False,True,False,True,False
8333,3750.0,187.0,360.0,1.0,0,1,False,True,True,False,False,True,False,False,True,False,True,False
11000,0.0,83.0,360.0,1.0,2,0,False,True,True,False,False,True,False,False,True,False,False,True
2600,2500.0,90.0,360.0,1.0,1,1,False,True,False,True,False,False,True,False,False,True,True,False
4923,0.0,166.0,360.0,0.0,1,1,False,True,True,False,False,False,False,True,True,False,True,False
3500,1083.0,135.0,360.0,1.0,2,1,False,True,False,True,False,False,True,False,False,True,True,False
3917,0.0,124.0,360.0,1.0,1,1,False,True,False,True,False,False,False,True,False,True,True,False
4408,0.0,120.0,360.0,1.0,1,1,True,False,True,False,False,True,False,False,False,True,True,False
3244,0.0,80.0,360.0,1.0,2,1,True,False,True,False,False,True,False,False,True,False,True,False
3975,2531.0,55.0,360.0,1.0,0,1,False,True,True,False,False,True,False,False,False,True,True,False
2479,0.0,59.0,360.0,1.0,2,1,False,True,True,False,False,True,False,False,True,False,True,False
3418,0.0,127.0,360.0,1.0,1,0,False,True,True,False,False,True,False,False,True,False,True,False
10000,0.0,214.0,360.0,1.0,1,0,True,False,True,False,False,True,False,False,True,False,True,False
3430,1250.0,128.0,360.0,0.0,1,0,False,True,False,True,True,False,False,False,True,False,True,False
7787,0.0,240.0,360.0,1.0,2,1,False,True,False,True,False,False,True,False,True,False,False,True
5703,0.0,130.0,360.0,1.0,0,1,False,True,False,True,True,False,False,False,False,True,False,True
3173,3021.0,137.0,360.0,1.0,2,1,False,True,False,True,False,True,False,False,True,False,True,False
3850,983.0,100.0,360.0,1.0,1,1,False,True,False,True,True,False,False,False,False,True,True,False
150,1800.0,135.0,360.0,1.0,0,0,False,True,False,True,False,True,False,False,True,False,True,False
3727,1775.0,131.0,360.0,1.0,1,1,False,True,False,True,False,True,False,False,True,False,True,False
2221,0.0,60.0,360.0,0.0,2,0,False,True,False,True,False,True,False,False,True,False,True,False
4009,1717.0,116.0,360.0,1.0,1,1,False,True,False,True,False,False,False,True,True,False,True,False
2971,2791.0,144.0,360.0,1.0,1,1,False,True,True,False,False,True,False,False,True,False,True,False
6250,0.0,128.0,360.0,1.0,1,1,False,True,False,True,False,True,False,False,True,False,True,False
3250,0.0,170.0,360.0,1.0,0,0,False,True,False,True,False,True,False,False,True,False,True,False
6250,1695.0,210.0,360.0,1.0,1,1,False,True,False,True,False,False,False,True,True,False,True,False
6400,0.0,200.0,360.0,1.0,0,1,False,True,True,False,False,True,False,False,True,False,False,True
2491,2054.0,104.0,360.0,1.0,1,1,False,True,False,True,False,False,True,False,True,False,True,False
8333,0.0,280.0,360.0,1.0,1,1,True,False,True,False,False,True,False,False,True,False,True,False
3155,1779.0,140.0,360.0,1.0,1,1,False,True,False,True,False,False,True,False,True,False,True,False
5500,1260.0,170.0,360.0,1.0,0,1,False,True,False,True,False,False,True,False,True,False,True,False
3812,0.0,112.0,360.0,1.0,0,1,True,False,True,False,False,False,True,False,True,False,True,False
3315,0.0,96.0,360.0,1.0,1,1,False,True,False,True,False,False,True,False,True,False,True,False
5819,5000.0,120.0,360.0,1.0,0,1,False,True,False,True,False,False,False,True,True,False,True,False
2510,1983.0,140.0,180.0,1.0,2,0,False,True,False,True,False,False,True,False,False,True,True,False
2965,5701.0,155.0,60.0,1.0,2,1,False,True,True,False,False,True,False,False,True,False,True,False
6250,1300.0,108.0,360.0,1.0,0,1,False,True,False,True,False,False,False,True,True,False,False,True
3406,4417.0,123.0,360.0,1.0,1,1,False,True,False,True,False,True,False,False,False,True,True,False
6050,4333.0,120.0,180.0,1.0,2,0,False,True,True,False,False,True,False,False,True,False,False,True
9703,0.0,112.0,360.0,1.0,2,1,False,True,False,True,False,False,False,True,True,False,True,False
6608,0.0,137.0,180.0,1.0,2,1,False,True,False,True,False,False,True,False,False,True,True,False
2882,1843.0,123.0,480.0,1.0,1,1,False,True,False,True,False,False,True,False,True,False,True,False
1809,1868.0,90.0,360.0,1.0,2,1,False,True,False,True,False,True,False,False,True,False,True,False
1668,3890.0,201.0,360.0,0.0,1,0,False,True,False,True,False,True,False,False,False,True,True,False
3427,0.0,138.0,360.0,1.0,2,0,True,False,True,False,False,False,False,True,True,False,True,False
2583,2167.0,104.0,360.0,1.0,0,1,False,True,True,False,False,True,False,False,False,True,False,True
2661,7101.0,279.0,180.0,1.0,1,1,False,True,False,True,False,False,True,False,False,True,True,False
16250,0.0,192.0,360.0,0.0,2,0,False,True,True,False,False,True,False,False,True,False,False,True
3083,0.0,255.0,360.0,1.0,0,1,True,False,True,False,True,False,False,False,True,False,True,False
6045,0.0,115.0,360.0,0.0,0,0,False,True,True,False,False,True,False,False,False,True,True,False
5250,0.0,94.0,360.0,1.0,2,0,False,True,False,True,True,False,False,False,True,False,True,False
14683,2100.0,304.0,360.0,1.0,0,0,False,True,False,True,False,True,False,False,True,False,True,False
2060,2209.0,134.0,360.0,1.0,1,1,False,True,True,False,False,True,False,False,True,False,True,False
3481,0.0,155.0,36.0,1.0,1,0,True,False,True,False,False,False,True,False,True,False,True,False
7200,0.0,120.0,360.0,1.0,0,1,True,False,True,False,False,True,False,False,True,False,True,False
5166,0.0,128.0,360.0,1.0,1,1,False,True,True,False,False,True,False,False,True,False,False,True
4095,3447.0,151.0,360.0,1.0,0,1,False,True,True,False,False,True,False,False,True,False,True,False
4708,1387.0,150.0,360.0,1.0,1,1,False,True,False,True,False,False,False,True,True,False,True,False
4333,1811.0,160.0,360.0,0.0,2,1,False,True,False,True,True,False,False,False,True,False,True,False
2876,1560.0,90.0,360.0,1.0,2,1,True,False,True,False,False,False,True,False,True,False,True,False
3237,0.0,30.0,360.0,1.0,2,1,True,False,True,False,False,True,False,False,True,False,True,False
11146,0.0,136.0,360.0,1.0,2,1,False,True,False,True,False,True,False,False,True,False,True,False
2833,1857.0,126.0,360.0,1.0,0,1,False,True,True,False,False,True,False,False,True,False,True,False
2620,2223.0,150.0,360.0,1.0,1,1,False,True,False,True,False,True,False,False,True,False,True,False
3900,0.0,90.0,360.0,1.0,1,1,False,True,False,True,False,False,False,True,True,False,True,False
2750,1842.0,115.0,360.0,1.0,1,1,False,True,False,True,False,False,True,False,True,False,True,False
3993,3274.0,207.0,360.0,1.0,1,1,False,True,False,True,False,True,False,False,True,False,True,False
3103,1300.0,80.0,360.0,1.0,2,1,False,True,False,True,False,True,False,False,True,False,True,False
14583,0.0,436.0,360.0,1.0,1,1,False,True,False,True,False,True,False,False,True,False,True,False
4053,2426.0,158.0,360.0,0.0,2,0,False,True,True,False,False,False,True,False,False,True,False,True
3927,800.0,112.0,360.0,1.0,1,1,False,True,False,True,False,True,False,False,True,False,True,False
2301,985.7999878,78.0,180.0,1.0,2,1,False,True,False,True,False,False,False,True,True,False,True,False
1811,1666.0,54.0,360.0,1.0,2,1,True,False,True,False,False,True,False,False,True,False,True,False
3158,3053.0,89.0,360.0,1.0,0,1,False,True,True,False,False,True,False,False,True,False,True,False
2600,1717.0,99.0,300.0,1.0,1,0,True,False,True,False,False,True,False,False,True,False,False,True
3704,2000.0,120.0,360.0,1.0,0,1,False,True,False,True,False,True,False,False,True,False,True,False
4124,0.0,115.0,360.0,1.0,1,1,True,False,True,False,False,True,False,False,True,False,True,False
9508,0.0,187.0,360.0,1.0,0,1,False,True,True,False,False,True,False,False,True,False,True,False
3075,2416.0,139.0,360.0,1.0,0,1,False,True,False,True,False,True,False,False,True,False,True,False
4400,0.0,127.0,360.0,0.0,1,0,False,True,False,True,False,False,False,True,True,False,True,False
3153,1560.0,134.0,360.0,1.0,2,1,False,True,False,True,False,False,False,True,True,False,True,False
2383,3334.0,172.0,360.0,1.0,1,1,False,True,False,True,False,True,False,False,True,False,True,False
6875,0.0,200.0,360.0,1.0,1,1,False,True,False,True,False,False,True,False,True,False,True,False
4666,0.0,135.0,360.0,1.0,2,1,True,False,False,True,False,False,True,False,True,False,True,False
5000,2541.0,151.0,480.0,1.0,0,0,True,False,True,False,False,True,False,False,True,False,True,False
2014,2925.0,113.0,360.0,1.0,2,0,False,True,False,True,False,False,True,False,True,False,True,False
